source,target,relationship
2806,2028,SEE_ALSO
2028,4100,SUCCEEDED__BY
2028,4600,SUPPLIED_TO
1122,1671,ASSOCIATED_WITH
1122,1670,ASSOCIATED_WITH
1671,1670,ASSOCIATED_WITH
1671,1122,ASSOCIATED_WITH
1670,1671,ASSOCIATED_WITH
1670,1122,ASSOCIATED_WITH
548,5391,HAD_APPRENTICE
548,349,APPRENTICED_TO
548,5395,HAD_APPRENTICE
5391,548,APPRENTICED_TO
5391,4606,CHILD_OF
349,3010,HAD_APPRENTICE
349,548,HAD_APPRENTICE
214,146,APPRENTICED_TO
146,91,APPRENTICED_TO
5395,548,APPRENTICED_TO
2602,1,SEE_ALSO
2602,6036,SEE_ALSO
1,792,ASSOCIATED_WITH
1,4309,SUCCEEDED__BY
1,3626,EMPLOYED_BY
792,8452,SUCCEEDED__BY
792,4309,TOOK_OVER_FROM
792,3272,SEE_ALSO
792,6008,SEE_ALSO
792,9842,PARENT_OF
4309,1,TOOK_OVER_FROM
4309,792,SUCCEEDED__BY
4309,3626,ASSOCIATED_WITH
3626,4593,WORKED_FOR
6036,2602,SEE_ALSO
4593,1,ASSOCIATED_WITH
4593,3626,EMPLOYED_BY
4594,2268,SUCCEEDED__BY
2268,2875,TOOK_OVER_FROM
2268,6549,SUCCEEDED__BY
1132,9262,HAD_APPRENTICE
1983,2772,APPRENTICED_TO
1983,3481,HAD_APPRENTICE
1983,1984,SEE_ALSO
1983,1983,CHILD_OF
2772,1983,HAD_APPRENTICE
2772,1984,HAD_APPRENTICE
2772,3449,HAD_APPRENTICE
3481,2175,SEE_ALSO
151,1316,APPRENTICED_TO
1316,380,PARENT_OF
10304,5053,TOOK_OVER_FROM
5053,3311,SEE_ALSO
334,438,SUCCEEDED__BY
334,344,ASSOCIATED_WITH
334,5,APPRENTICED_TO
438,8776,ASSOCIATED_WITH
438,357,ASSOCIATED_WITH
438,12,HAD_APPRENTICE
438,714,HAD_APPRENTICE
438,334,APPRENTICED_TO
438,5292,UNCLE_AUNT_OF
438,344,WORKED_FOR
438,439,SUCCEEDED__BY
438,917,UNCLE_AUNT_OF
344,438,EMPLOYED_BY
344,5,CHILD_OF
344,3830,EMPLOYED_BY
864,551,TOOK_OVER_FROM
551,864,SPOUSE_OF
551,511,APPRENTICED_TO
551,550,HAD_APPRENTICE
551,750,HAD_APPRENTICE
551,549,TOOK_OVER_FROM
2728,855,APPRENTICED_TO
855,733,SUCCEEDED__BY
855,5852,HAD_APPRENTICE
855,2728,HAD_APPRENTICE
511,1227,APPRENTICED_TO
511,550,PARENT_OF
511,551,HAD_APPRENTICE
511,1021,HAD_APPRENTICE
511,455,EMPLOYED_BY
511,549,SUCCEEDED__BY
1227,511,HAD_APPRENTICE
550,511,CHILD_OF
550,551,SAME_PREMISES_AS
550,3259,ASSOCIATED_WITH
1021,912,HAD_APPRENTICE
1021,605,HAD_APPRENTICE
1021,2609,HAD_APPRENTICE
1021,5438,HAD_APPRENTICE
1021,5243,HAD_APPRENTICE
1021,511,APPRENTICED_TO
455,2540,HAD_APPRENTICE
455,511,WORKED_FOR
549,551,SUCCEEDED__BY
549,511,TOOK_OVER_FROM
5,344,PARENT_OF
5,147,APPRENTICED_TO
5,334,HAD_APPRENTICE
5,1370,HAD_APPRENTICE
5,722,HAD_APPRENTICE
3259,5600,SEE_ALSO
3259,471,SEE_ALSO
750,751,CHILD_OF
750,550,ASSOCIATED_WITH
750,551,APPRENTICED_TO
750,749,CHILD_OF
3311,5053,SEE_ALSO
3311,8890,SUCCEEDED__BY
3311,8882,SON_IN_LAW_OF
1984,1983,SEE_ALSO
1984,2772,APPRENTICED_TO
6032,550,SEE_ALSO
532,2275,ASSOCIATED_WITH
2275,9376,ASSOCIATED_WITH
2275,532,TOOK_OVER_FROM
9376,7237,TOOK_OVER_FROM
2540,2634,SUCCEEDED__BY
2540,442,ASSOCIATED_WITH
2540,455,APPRENTICED_TO
2540,2631,PARENT_OF
2540,2632,PARENT_OF
2540,2633,PARENT_OF
2634,2633,SUCCEEDED__BY
2634,3668,EMPLOYED_BY
2634,2632,ASSOCIATED_WITH
2634,3649,EMPLOYED_BY
2634,3664,EMPLOYED_BY
442,5190,EMPLOYED_BY
442,430,APPRENTICED_TO
442,3196,HAD_APPRENTICE
442,1884,PARTNERSHIP
442,1514,PARENT_OF
2633,2540,CHILD_OF
2633,2632,SIBLING_OF
2633,2631,SIBLING_OF
2632,2540,CHILD_OF
2632,2631,SIBLING_OF
2632,2633,SIBLING_OF
2632,2632,SUCCEEDED__BY
2632,2634,ASSOCIATED_WITH
2631,2632,SIBLING_OF
2631,2633,SIBLING_OF
2631,2540,CHILD_OF
2631,2634,PARTNERSHIP
2630,2633,SEE_ALSO
3668,2634,WORKED_FOR
3649,2634,APPRENTICED_TO
3664,2634,WORKED_FOR
3522,2634,TOOK_OVER_FROM
8804,3653,ASSOCIATED_WITH
3653,3654,PARENT_OF
3653,8353,SPOUSE_OF
3653,2902,SEE_ALSO
3653,183,PARENT_OF
2637,5170,ASSOCIATED_WITH
2637,2627,SUCCEEDED__BY
5170,3282,CHILD_OF
5170,5171,SUCCEEDED__BY
9350,3314,SEE_ALSO
2638,4614,SEE_ALSO
4614,2638,SEE_ALSO
3405,15,ASSOCIATED_WITH
15,6635,ASSOCIATED_WITH
15,4267,SUCCEEDED__BY
15,5070,TOOK_OVER_FROM
8484,3405,TOOK_OVER_FROM
8384,8573,PARENT_OF
8573,8384,CHILD_OF
6041,8384,SEE_ALSO
6041,8573,SEE_ALSO
2600,3882,APPRENTICED_TO
3882,3924,TOOK_OVER_FROM
3882,2600,HAD_APPRENTICE
361,363,SUCCEEDED__BY
363,361,WORKED_FOR
362,2643,HAD_APPRENTICE
362,363,TOOK_OVER_FROM
4617,6044,TOOK_OVER_FROM
6044,4616,TOOK_OVER_FROM
6044,4617,SUCCEEDED__BY
4616,4617,SEE_ALSO
4616,6044,SUCCEEDED__BY
3942,3963,APPRENTICED_TO
3963,3965,SPOUSE_OF
3963,3993,APPRENTICED_TO
9933,6043,SEE_ALSO
6043,9933,SEE_ALSO
9473,6043,SEE_ALSO
124,110,APPRENTICED_TO
110,109,SEE_ALSO
110,45,EMPLOYED_BY
110,124,HAD_APPRENTICE
110,157,EMPLOYED_BY
2982,3160,SEE_ALSO
3160,2982,ASSOCIATED_WITH
949,5342,SEE_ALSO
4424,431,WORKED_FOR
4424,554,CHILD_OF
4424,430,WORKED_FOR
431,2585,EMPLOYED_BY
431,430,TOOK_OVER_FROM
431,4424,EMPLOYED_BY
431,411,SEE_ALSO
554,4424,PARENT_OF
554,841,TOOK_OVER_FROM
554,1094,SEE_ALSO
430,608,HAD_APPRENTICE
430,716,EMPLOYED_BY
430,188,EMPLOYED_BY
430,410,EMPLOYED_BY
430,390,APPRENTICED_TO
430,442,HAD_APPRENTICE
430,2236,HAD_APPRENTICE
430,4300,ASSOCIATED_WITH
430,551,WORKED_FOR
430,2167,EMPLOYED_BY
430,610,WORKED_FOR
