id,town,town_date_1,town_date_2,lon,lat
1,Liverpool,1829,1834,-2.99168,53.4071991
1,Liverpool,1818,1820,-2.99168,53.4071991
1,Liverpool,1837,1839,-2.99168,53.4071991
1,Liverpool,1837,1839,-2.99168,53.4071991
1,Liverpool,1827,1827,-2.99168,53.4071991
1,Liverpool,1821,1823,-2.99168,53.4071991
1,Liverpool,1839,1850,-2.99168,53.4071991
1,Liverpool,1822,1828,-2.99168,53.4071991
1,Liverpool,1835,1836,-2.99168,53.4071991
3,London,1787,1787,-0.1276474,51.5073219
3,London,1790,1796,-0.1276474,51.5073219
3,London,1804,1831,-0.1276474,51.5073219
4,Jedburgh,1771,1838,-2.5553768,55.4776435
5,London,1705,1743,-0.1276474,51.5073219
5,London,1722,1722,-0.1276474,51.5073219
5,London,1705,1705,-0.1276474,51.5073219
5,London,1724,1724,-0.1276474,51.5073219
7,London,no_date,no_date,-0.1276474,51.5073219
7,London,1747,1747,-0.1276474,51.5073219
8,Leith,1699,1709,-3.1709492,55.9725499
8,Edinburgh,1694,1698,-3.1883749,55.9533456
9,London,no_date,no_date,-0.1276474,51.5073219
9,London,1811,1811,-0.1276474,51.5073219
10,London,1718,1750,-0.1276474,51.5073219
10,London,1716,1716,-0.1276474,51.5073219
12,London,1764,1764,-0.1276474,51.5073219
12,London,1795,1795,-0.1276474,51.5073219
12,London,1779,1783,-0.1276474,51.5073219
12,London,1783,1783,-0.1276474,51.5073219
12,Richmond,1783,1783,-0.3014620774555619,51.45634024335544
12,London,1774,1774,-0.1276474,51.5073219
12,London,no_date,no_date,-0.1276474,51.5073219
13,London,1712,1712,-0.1276474,51.5073219
13,London,no_date,no_date,-0.1276474,51.5073219
14,London,1832,1832,-0.1276474,51.5073219
15,London,1883,1887,-0.1276474,51.5073219
16,Hull,no_date,no_date,-0.3394758,53.7435722
17,London,1653,1653,-0.1276474,51.5073219
17,London,1645,1645,-0.1276474,51.5073219
17,London,1623,1639,-0.1276474,51.5073219
17,London,no_date,no_date,-0.1276474,51.5073219
17,London,1606,1611,-0.1276474,51.5073219
17,London,1618,1618,-0.1276474,51.5073219
17,London,no_date,no_date,-0.1276474,51.5073219
18,London,no_date,no_date,-0.1276474,51.5073219
19,London,1729,1729,-0.1276474,51.5073219
19,London,1721,1721,-0.1276474,51.5073219
19,London,no_date,no_date,-0.1276474,51.5073219
20,London,no_date,no_date,-0.1276474,51.5073219
20,London,no_date,no_date,-0.1276474,51.5073219
20,London,1673,1673,-0.1276474,51.5073219
20,London,1673,1673,-0.1276474,51.5073219
21,London,1747,1747,-0.1276474,51.5073219
21,London,1749,1749,-0.1276474,51.5073219
21,London,1751,1759,-0.1276474,51.5073219
21,London,1759,1759,-0.1276474,51.5073219
21,London,1747,1747,-0.1276474,51.5073219
22,Liverpool,1765,1765,-2.99168,53.4071991
23,London,1750,1750,-0.1276474,51.5073219
23,Liverpool,1766,1766,-2.99168,53.4071991
24,London,1770,1770,-0.1276474,51.5073219
24,London,1770,1782,-0.1276474,51.5073219
24,London,1773,1773,-0.1276474,51.5073219
24,London,1790,1794,-0.1276474,51.5073219
24,London,1785,1785,-0.1276474,51.5073219
25,Edinburgh,no_date,no_date,-3.1883749,55.9533456
26,Edinburgh,no_date,no_date,-3.1883749,55.9533456
27,Edinburgh,no_date,no_date,-3.1883749,55.9533456
28,Reading,no_date,no_date,-0.9696512,51.456659
29,London,1799,1802,-0.1276474,51.5073219
29,London,1804,no_date,-0.1276474,51.5073219
29,London,1790,1794,-0.1276474,51.5073219
29,London,no_date,no_date,-0.1276474,51.5073219
29,London,1789,1794,-0.1276474,51.5073219
30,London,1733,1733,-0.1276474,51.5073219
30,London,1764,1764,-0.1276474,51.5073219
31,London,1690,1690,-0.1276474,51.5073219
32,London,1663,1663,-0.1276474,51.5073219
33,London,1790,1790,-0.1276474,51.5073219
35,Edinburgh,1797,1803,-3.1883749,55.9533456
36,London,1695,1695,-0.1276474,51.5073219
36,London,1676,1693,-0.1276474,51.5073219
37,London,1749,1770,-0.1276474,51.5073219
37,London,1746,1747,-0.1276474,51.5073219
37,London,no_date,no_date,-0.1276474,51.5073219
37,London,1743,1743,-0.1276474,51.5073219
37,London,no_date,no_date,-0.1276474,51.5073219
37,London,no_date,no_date,-0.1276474,51.5073219
38,London,1788,1792,-0.1276474,51.5073219
38,London,1787,1788,-0.1276474,51.5073219
38,London,1793,1797,-0.1276474,51.5073219
39,London,1790,1790,-0.1276474,51.5073219
40,Edinburgh,1690,1690,-3.1883749,55.9533456
40,London,1694,1694,-0.1276474,51.5073219
40,London,1692,1701,-0.1276474,51.5073219
40,London,1691,1691,-0.1276474,51.5073219
41,Glasgow,no_date,no_date,-4.2488787,55.8609825
42,Wolverhampton,1770,1781,-2.127567,52.5847651
42,Wolverhampton,1792,1792,-2.127567,52.5847651
43,London,1805,1805,-0.1276474,51.5073219
44,Glasgow,1742,1742,-4.2488787,55.8609825
45,London,no_date,no_date,-0.1276474,51.5073219
45,London,no_date,no_date,-0.1276474,51.5073219
45,London,1668,1668,-0.1276474,51.5073219
46,London,1860,1860,-0.1276474,51.5073219
47,London,1791,1822,-0.1276474,51.5073219
47,London,1779,1779,-0.1276474,51.5073219
49,London,1739,1739,-0.1276474,51.5073219
49,London,1738,1739,-0.1276474,51.5073219
49,London,1736,1736,-0.1276474,51.5073219
50,London,1816,1822,-0.1276474,51.5073219
50,London,1794,1800,-0.1276474,51.5073219
50,London,1760,"1793)
1793)",-0.1276474,51.5073219
51,Edinburgh,no_date,no_date,-3.1883749,55.9533456
53,London,no_date,no_date,-0.1276474,51.5073219
54,London,1714,1717,-0.1276474,51.5073219
55,Glasgow,no_date,no_date,-4.2488787,55.8609825
56,London,1642,1664,-0.1276474,51.5073219
58,London,1779,1779,-0.1276474,51.5073219
58,London,1759,1759,-0.1276474,51.5073219
59,Leith,no_date,no_date,-3.1709492,55.9725499
60,London,1799,1802,-0.1276474,51.5073219
60,London,no_date,1801,-0.1276474,51.5073219
60,London,1790,1794,-0.1276474,51.5073219
61,London,1749,1749,-0.1276474,51.5073219
63,Blackfriars,1560,1560,-0.1037671,51.5115854
63,London,1562,1562,-0.1276474,51.5073219
65,London,1563,1563,-0.1276474,51.5073219
65,London,1582,1582,-0.1276474,51.5073219
66,Birmingham,1773,1775,-1.9026911,52.4796992
67,Birmingham,1770,1770,-1.9026911,52.4796992
67,Birmingham,1775,1781,-1.9026911,52.4796992
67,Birmingham,1767,1770,-1.9026911,52.4796992
68,Birmingham,1785,1788,-1.9026911,52.4796992
68,Birmingham,1773,1776,-1.9026911,52.4796992
68,Birmingham,1777,1781,-1.9026911,52.4796992
69,London,1581,1581,-0.1276474,51.5073219
70,London,1568,1593,-0.1276474,51.5073219
71,London,1590,1590,-0.1276474,51.5073219
72,London,1582,1582,-0.1276474,51.5073219
73,London,1582,1582,-0.1276474,51.5073219
74,London,1582,1590,-0.1276474,51.5073219
75,London,1582,1590,-0.1276474,51.5073219
76,London,1615,1615,-0.1276474,51.5073219
76,London,1590,1590,-0.1276474,51.5073219
77,Birmingham,1773,1776,-1.9026911,52.4796992
77,Wolverhampton,1761,1761,-2.127567,52.5847651
77,Birmingham,1761,1761,-1.9026911,52.4796992
77,Birmingham,1767,1767,-1.9026911,52.4796992
77,Birmingham,1770,1770,-1.9026911,52.4796992
78,Birmingham,1777,1781,-1.9026911,52.4796992
79,Birmingham,1780,1780,-1.9026911,52.4796992
79,Birmingham,1780,1781,-1.9026911,52.4796992
80,Birmingham,1775,1775,-1.9026911,52.4796992
80,Birmingham,1770,1775,-1.9026911,52.4796992
80,Birmingham,1777,1781,-1.9026911,52.4796992
82,London,no_date,no_date,-0.1276474,51.5073219
84,London,1596,1596,-0.1276474,51.5073219
85,London,no_date,no_date,-0.1276474,51.5073219
86,London,1590,1590,-0.1276474,51.5073219
87,London,1598,1598,-0.1276474,51.5073219
87,London,no_date,no_date,-0.1276474,51.5073219
87,London,1597,1597,-0.1276474,51.5073219
89,London,1626,1633,-0.1276474,51.5073219
89,London,1607,1607,-0.1276474,51.5073219
89,London,1605,1605,-0.1276474,51.5073219
89,Alkmaar,1605,1605,4.817099446443963,52.6008538
89,Ipswich,1630,1630,1.1526345,52.0579495
90,London,1621,1621,-0.1276474,51.5073219
91,London,1611,1645,-0.1276474,51.5073219
92,London,1759,1759,-0.1276474,51.5073219
93,London,no_date,no_date,-0.1276474,51.5073219
94,London,1624,1630,-0.1276474,51.5073219
94,London,1618,1618,-0.1276474,51.5073219
96,London,1626,1626,-0.1276474,51.5073219
97,London,1631,1631,-0.1276474,51.5073219
97,London,no_date,no_date,-0.1276474,51.5073219
97,London,no_date,no_date,-0.1276474,51.5073219
99,London,no_date,no_date,-0.1276474,51.5073219
99,London,1630,1631,-0.1276474,51.5073219
101,Birmingham,1770,1777,-1.9026911,52.4796992
101,Birmingham,1780,1781,-1.9026911,52.4796992
101,Birmingham,1767,1767,-1.9026911,52.4796992
102,Birmingham,1770,1781,-1.9026911,52.4796992
102,Birmingham,1788,1798,-1.9026911,52.4796992
102,Birmingham,1785,1785,-1.9026911,52.4796992
103,London,1633,1669,-0.1276474,51.5073219
104,Birmingham,1773,1775,-1.9026911,52.4796992
106,London,1630,1631,-0.1276474,51.5073219
108,London,no_date,no_date,-0.1276474,51.5073219
109,London,1639,1639,-0.1276474,51.5073219
110,London,1658,1658,-0.1276474,51.5073219
110,London,1649,1649,-0.1276474,51.5073219
110,London,no_date,no_date,-0.1276474,51.5073219
111,London,1645,1664,-0.1276474,51.5073219
111,London,1663,1663,-0.1276474,51.5073219
112,London,no_date,no_date,-0.1276474,51.5073219
113,London,1620,1620,-0.1276474,51.5073219
