id,other_trades,other_trades_parenth,role_primary,relation_to,guild_memberships,seller_descriptions,maker_descriptions,material,qualifier_im,seller_trades,seller_trades_parenth,maker_trades,maker_trade_parentheses_1,maker_qualifier
1,,,,,,,Philosophical,,,,,,,
1,,,,,,,Mathematical,,,,,,,
1,,,,,,,,,,,,,,
2,,,,,,,,,,,,Rule,,
3,,,,,,,Philosophical,,,,,,,
3,,,,,,,Mathematical,,,,,,,
3,,,,,,,,,,,,,,
3,,,,,Spectaclemakers,,,,,,,,,
4,,,,,,,,,,,,Telescope,,
5,,,,,,,,,,,,Spectacle,,
5,,,,,,,,,,,,Spectacle,,
5,,,,,,,,,,,,,,
5,,,,,Spectaclemakers,,,,,,,,,
7,,,,,,,,,,,,,,
8,,,,,,,Mathematical,,,,,,,
9,,,,,,,Mathematical,,,,,,,
10,,,,,,,Mathematical,,,,,,,
10,,,,,Grocers,,,,,,,,,
11,,,,,,,,,,,,Barometer,,
12,,,,,,,Mathematical,,,,,,,
12,,,,,,,Philosophical,,,,,,,
12,,,,,,,Optical,,,,,,,
12,,,,,Spectaclemakers,,,,,,,,,
13,,,,,,,,,,,,Globe,,
14,,,,,,,,,,,,Measure,,
15,,,,,,,Nautical,,,,,,,
17,,,,,,,Mathematical,(in brass),,,,,,
17,,,,,Clockmakers,,,,,,,,,
17,,,,,Grocers,,,,,,,,,
17,,,Engraver,book plate,,,,,,,,,,
18,,,,,,,Mathematical,,,,,,,
19,,,,,,,Mathematical,,,,,,,
19,,,Teacher ,math,,,,,,,,,,
20,,,,,,,Mathematical,,,,,,,
20,,,,,Clockmakers,,,,,,,,,
20,,,,,Joiners,,,,,,,,,
20,,,Teacher ,mathematics,,,,,,,,,,
21,,,,,,,Mathematical,,,,,,,
21,,,,,,,Philosophical,,,,,,,
21,,,,,,,Optical,,,,,,,
21,,,,,,,,,,,,,,
21,,,,,Spectaclemakers,,,,,,,,,
22,,,,,,,Mathematical,,,,,,,
22,,,,,,,Surgical,,,,,,,
23,,,,,,,Mathematical,,,,,,,
23,,,,,Joiners,,,,,,,,,
