source_maker_id,source_maker_surname,source_maker_first_name,source_maker_date_1,source_maker_date_2,relation_description,relation_code,target_maker_id,target_maker_surname,target_maker_first_name,target_maker_date_1,target_maker_date_2
2806,\,William,1808-01-01,1808-01-01,See Also,14,2028,CARPENTER,Philip,1808-01-01,1833-01-01
1122,AARON,Aaron,1805-01-01,1822-01-01,Associated with,15,1671,AARON & CO.,Isaac,1801-01-01,1801-01-01
1122,AARON,Aaron,1805-01-01,1822-01-01,Associated with,15,1670,AARON & SON,Isaac,1794-01-01,1814-01-01
1671,AARON & CO.,Isaac,1801-01-01,1801-01-01,Associated with,15,1670,AARON & SON,Isaac,1794-01-01,1814-01-01
1671,AARON & CO.,Isaac,1801-01-01,1801-01-01,Associated with,15,1122,AARON,Aaron,1805-01-01,1822-01-01
1670,AARON & SON,Isaac,1794-01-01,1814-01-01,Associated with,15,1671,AARON & CO.,Isaac,1801-01-01,1801-01-01
1670,AARON & SON,Isaac,1794-01-01,1814-01-01,Associated with,15,1122,AARON,Aaron,1805-01-01,1822-01-01
548,ABBOTT,Charles,1801-01-01,1833-01-01,Had apprentice,9,5391,BENTLEY,William,1806-01-01,1806-01-01
548,ABBOTT,Charles,1801-01-01,1833-01-01,Apprenticed to,8,349,EGLINTON,John,1764-01-01,1786-01-01
214,ABBOTT,Richard,1668-01-01,1676-01-01,Apprenticed to,8,146,BEDFORD,Hilkiah,1656-01-01,1680-01-01
548,ABBOTT,Charles,1801-01-01,1833-01-01,Had apprentice,9,5395,AGATE,Samuel,1831-01-01,1831-01-01
2602,ABRAHAM,Jacob,1809-01-01,1842-01-01,See Also,14,1,ABRAHAM,Abraham,1818-01-01,1850-01-01
1,ABRAHAM,Abraham,1818-01-01,1850-01-01,Associated with,15,792,WOOD,George Smart,1847-01-01,1897-01-01
1,ABRAHAM,Abraham,1818-01-01,1850-01-01,Succeeded  by,12,4309,ABRAHAM & CO.,Abraham,1851-01-01,1875-01-01
1,ABRAHAM,Abraham,1818-01-01,1850-01-01,Employed by,11,3626,COHEN,Simeon Phineas,1844-01-01,1853-01-01
6036,ABRAHAM,John,1826-01-01,1830-01-01,See Also,14,2602,ABRAHAM,Jacob,1809-01-01,1842-01-01
2602,ABRAHAM,Jacob,1809-01-01,1842-01-01,See Also,14,6036,ABRAHAM,John,1826-01-01,1830-01-01
4309,ABRAHAM & CO.,Abraham,1851-01-01,1875-01-01,Took over from,13,1,ABRAHAM,Abraham,1818-01-01,1850-01-01
4309,ABRAHAM & CO.,Abraham,1851-01-01,1875-01-01,Succeeded  by,12,792,WOOD,George Smart,1847-01-01,1897-01-01
4593,ABRAHAM & CO.,A.,1838-01-01,1843-01-01,Associated with,15,1,ABRAHAM,Abraham,1818-01-01,1850-01-01
4309,ABRAHAM & CO.,Abraham,1851-01-01,1875-01-01,Associated with,15,3626,COHEN,Simeon Phineas,1844-01-01,1853-01-01
4593,ABRAHAM & CO.,A.,1838-01-01,1843-01-01,Succeeded  by,12,3626,COHEN,Simeon Phineas,1844-01-01,1853-01-01
4593,ABRAHAM & CO.,A.,1838-01-01,1843-01-01,Employed by,11,3626,COHEN,Simeon Phineas,1844-01-01,1853-01-01
4594,ABRAHAM & DANCER,W. & John Benjamin,1841-01-01,1845-01-01,Took over from,13,2268,DANCER,John Benjamin,1835-01-01,1878-01-01
4594,ABRAHAM & DANCER,W. & John Benjamin,1841-01-01,1845-01-01,Succeeded  by,12,2268,DANCER,John Benjamin,1835-01-01,1878-01-01
1132,ACCUM,Fredrick (sic),1803-01-01,1828-01-01,Had apprentice,9,9262,GARDEN,Alexander,1818-01-01,1846-01-01
1983,ADAMS,Alexander,1826-01-01,1828-01-01,Apprenticed to,8,2772,BYARD,John,1815-01-01,1844-01-01
1983,ADAMS,Alexander,1826-01-01,1828-01-01,Had apprentice,9,3481,LOWE,Joshua Reeve,1833-01-01,1842-01-01
151,ADAMS,John (I),1720-01-01,1734-01-01,Apprenticed to,8,1316,SAUNDERS,William,1695-01-01,1717-01-01
10304,ADAMS,Thomas (III),1870-01-01,1880-01-01,Child of,2,5053,ADAMS,Thomas (II),1846-01-01,1870-01-01
10304,ADAMS,Thomas (III),1870-01-01,1880-01-01,Took over from,13,5053,ADAMS,Thomas (II),1846-01-01,1870-01-01
334,ADAMS,Nathaniel,1735-01-01,1740-01-01,Had apprentice,9,438,WATKINS,Francis (I),1747-01-01,1784-01-01
334,ADAMS,Nathaniel,1735-01-01,1740-01-01,Succeeded  by,12,438,WATKINS,Francis (I),1747-01-01,1784-01-01
334,ADAMS,Nathaniel,1735-01-01,1740-01-01,Associated with,15,344,SCARLETT,Edward (II),1728-01-01,1774-01-01
864,ADAMS,Hannah,1795-01-01,1796-01-01,Spouse of,5,551,ADAMS,George (II),1772-01-01,1796-01-01
2728,ADAMS,William,1735-01-01,1735-01-01,Apprenticed to,8,855,SAUNDERS,Samuel (I),1708-01-01,1743-01-01
864,ADAMS,Hannah,1795-01-01,1796-01-01,Took over from,13,551,ADAMS,George (II),1772-01-01,1796-01-01
551,ADAMS,George (II),1772-01-01,1796-01-01,Succeeded  by,12,864,ADAMS,Hannah,1795-01-01,1796-01-01
551,ADAMS,George (II),1772-01-01,1796-01-01,Spouse of,5,864,ADAMS,Hannah,1795-01-01,1796-01-01
511,ADAMS,George (I),1734-01-01,1772-01-01,Apprenticed to,8,1227,PARKER,James (I),1703-01-01,1724-01-01
511,ADAMS,George (I),1734-01-01,1772-01-01,Parent of,1,550,ADAMS,Dudley,1788-01-01,1817-01-01
511,ADAMS,George (I),1734-01-01,1772-01-01,Parent of,1,551,ADAMS,George (II),1772-01-01,1796-01-01
511,ADAMS,George (I),1734-01-01,1772-01-01,Had apprentice,9,551,ADAMS,George (II),1772-01-01,1796-01-01
511,ADAMS,George (I),1734-01-01,1772-01-01,Had apprentice,9,1021,TANGATE,Robert (I),1766-01-01,1794-01-01
511,ADAMS,George (I),1734-01-01,1772-01-01,Employed by,11,455,MILLER,John,1774-01-01,1803-01-01
511,ADAMS,George (I),1734-01-01,1772-01-01,Succeeded  by,12,549,ADAMS,Ann & George (II),1772-01-01,1774-01-01
334,ADAMS,Nathaniel,1735-01-01,1740-01-01,Apprenticed to,8,5,SCARLETT,Edward (I),1705-01-01,1705-01-01
549,ADAMS,Ann & George (II),1772-01-01,1774-01-01,Succeeded  by,12,551,ADAMS,George (II),1772-01-01,1796-01-01
549,ADAMS,Ann & George (II),1772-01-01,1774-01-01,Took over from,13,511,ADAMS,George (I),1734-01-01,1772-01-01
550,ADAMS,Dudley,1788-01-01,1817-01-01,Child of,2,511,ADAMS,George (I),1734-01-01,1772-01-01
550,ADAMS,Dudley,1788-01-01,1817-01-01,Sibling of,3,551,ADAMS,George (II),1772-01-01,1796-01-01
550,ADAMS,Dudley,1788-01-01,1817-01-01,Apprenticed to,8,551,ADAMS,George (II),1772-01-01,1796-01-01
550,ADAMS,Dudley,1788-01-01,1817-01-01,Associated with,15,3259,WEST,Charles (I),1817-01-01,1822-01-01
550,ADAMS,Dudley,1788-01-01,1817-01-01,Same premises as,16,551,ADAMS,George (II),1772-01-01,1796-01-01
551,ADAMS,George (II),1772-01-01,1796-01-01,Child of,2,511,ADAMS,George (I),1734-01-01,1772-01-01
551,ADAMS,George (II),1772-01-01,1796-01-01,Sibling of,3,550,ADAMS,Dudley,1788-01-01,1817-01-01
551,ADAMS,George (II),1772-01-01,1796-01-01,Apprenticed to,8,511,ADAMS,George (I),1734-01-01,1772-01-01
551,ADAMS,George (II),1772-01-01,1796-01-01,Had apprentice,9,550,ADAMS,Dudley,1788-01-01,1817-01-01
551,ADAMS,George (II),1772-01-01,1796-01-01,Had apprentice,9,750,STEDMAN,Christopher (II)*,1785-01-01,1785-01-01
551,ADAMS,George (II),1772-01-01,1796-01-01,Took over from,13,549,ADAMS,Ann & George (II),1772-01-01,1774-01-01
5053,ADAMS,Thomas (II),1846-01-01,1870-01-01,See Also,14,3311,WIDENHAM,Richard,1820-01-01,1849-01-01
1984,ADAMS,Michael,1829-01-01,1842-01-01,See Also,14,1983,ADAMS,Alexander,1826-01-01,1828-01-01
1984,ADAMS,Michael,1829-01-01,1842-01-01,Apprenticed to,8,2772,BYARD,John,1815-01-01,1844-01-01
1983,ADAMS,Alexander,1826-01-01,1828-01-01,See Also,14,1984,ADAMS,Michael,1829-01-01,1842-01-01
1983,ADAMS,Alexander,1826-01-01,1828-01-01,Child of,2,1983,ADAMS,Alexander,1826-01-01,1828-01-01
6032,ADAMS & CO.,Dudley,1816-01-01,1816-01-01,See Also,14,550,ADAMS,Dudley,1788-01-01,1817-01-01
532,ADDISON,John,1800-01-01,1819-01-01,Associated with,15,2275,ADDISON & CO.,John,1820-01-01,1830-01-01
2275,ADDISON & CO.,John,1820-01-01,1830-01-01,Associated with,15,9376,MALBY & SONS,[none],1861-01-01,1917-01-01
2275,ADDISON & CO.,John,1820-01-01,1830-01-01,Took over from,13,532,ADDISON,John,1800-01-01,1819-01-01
2540,ADIE,Alexander,1823-01-01,1834-01-01,Associated with,15,442,JONES,Thomas (I),1806-01-01,1861-01-01
2633,ADIE,Richard,1835-01-01,1875-01-01,Child of,2,2540,ADIE,Alexander,1823-01-01,1834-01-01
2632,ADIE,Patrick,1846-01-01,1942-01-01,Child of,2,2540,ADIE,Alexander,1823-01-01,1834-01-01
2631,ADIE,John,1834-01-01,1857-01-01,Sibling of,3,2632,ADIE,Patrick,1846-01-01,1942-01-01
2633,ADIE,Richard,1835-01-01,1875-01-01,Sibling of,3,2632,ADIE,Patrick,1846-01-01,1942-01-01
2630,ADIE,Edward,1833-01-01,1833-01-01,See Also,14,2633,ADIE,Richard,1835-01-01,1875-01-01
2631,ADIE,John,1834-01-01,1857-01-01,Sibling of,3,2633,ADIE,Richard,1835-01-01,1875-01-01
2540,ADIE,Alexander,1823-01-01,1834-01-01,Apprenticed to,8,455,MILLER,John,1774-01-01,1803-01-01
