ref,date,name,other_trades,Other Trades Parenth,Other Trades Dates,Other Trade Suffix 2,Role_primary,Relation to,RoleRelationDates,guild_memberships,opticians,seller_descriptions,Qualifier IS,Dates IS,maker_descriptions,IM Dates Parenth,Material,Qualifier IM,seller_trades,Seller_trades parenth,Seller trade dates,maker_trades,Maker_trade parentheses 1,Maker_trade Date Qual,Maker_qualifier
1,1818-01-01T00:00:00Z,ABRAHAM,,,,,,,,,,,,,Philosophical,,,,,,,,,,
1,1818-01-01T00:00:00Z,ABRAHAM,,,,,,,,,,,,,Mathematical,,,,,,,,,,
1,1818-01-01T00:00:00Z,ABRAHAM,,,,,,,,,Optician,,,,,,,,,,,,,,
2,1770-01-01T00:00:00Z,BERRICK,,,,,,,,,,,,,,,,,,,,Rule,,,
3,1790-01-01T00:00:00Z,FIELD,,,,,,,,,,,,,Philosophical,,,,,,,,,,
3,1790-01-01T00:00:00Z,FIELD,,,,,,,,,,,,,Mathematical,,,,,,,,,,
3,1790-01-01T00:00:00Z,FIELD,,,,,,,,,Optician,,,,,,,,,,,,,,
3,1790-01-01T00:00:00Z,FIELD,,,,,,,,Spectaclemakers,,,,,,,,,,,,,,,
4,1811-01-01T00:00:00Z,VEITCH,,,,,,,,,,,,,,,,,,,,Telescope,,,
5,1705-01-01T00:00:00Z,SCARLETT,,,,,,,,,,,,,,,,,,,,Spectacle,,,
5,1705-01-01T00:00:00Z,SCARLETT,,,,,,,,,,,,,,,,,,,,Spectacle,,,
5,1705-01-01T00:00:00Z,SCARLETT,,,,,,,,,Optician,,,,,,,,,,,,,,
5,1705-01-01T00:00:00Z,SCARLETT,,,,,,,,Spectaclemakers,,,,,,,,,,,,,,,
7,1743-01-01T00:00:00Z,MANN & AYSCOUGH,,,,,,,,,Optician,,,,,,,,,,,,,,
8,1694-01-01T00:00:00Z,MANN,,,,,,,,,,,,,Mathematical,,,,,,,,,,
9,1811-01-01T00:00:00Z,CULMER & TENNANT,,,,,,,,,,,,,Mathematical,,,,,,,,,,
10,1718-01-01T00:00:00Z,GILBERT,,,,,,,,,,,,,Mathematical,,,,,,,,,,
10,1718-01-01T00:00:00Z,GILBERT,,,,,,,,Grocers,,,,,,,,,,,,,,,
11,1800-01-01T00:00:00Z,WALKER,,,,,,,,,,,,,,,,,,,,Barometer,,,
12,1769-01-01T00:00:00Z,SMITH,,,,,,,,,,,,,Mathematical,,,,,,,,,,
12,1769-01-01T00:00:00Z,SMITH,,,,,,,,,,,,,Philosophical,,,,,,,,,,
12,1769-01-01T00:00:00Z,SMITH,,,,,,,,,,,,,Optical,,,,,,,,,,
12,1769-01-01T00:00:00Z,SMITH,,,,,,,,Spectaclemakers,,,,,,,,,,,,,,,
13,1712-01-01T00:00:00Z,LEA & GLYNNE,,,,,,,,,,,,,,,,,,,,Globe,,,
14,1832-01-01T00:00:00Z,RICHARDS & SON,,,,,,,,,,,,,,,,,,,,Measure,,,
15,1883-01-01T00:00:00Z,HEATH & CO.,,,,,,,,,,,,,Nautical,,,,,,,,,,
17,1607-01-01T00:00:00Z,ALLEN,,,,,,,,,,,,,Mathematical,,(in brass),,,,,,,,
17,1607-01-01T00:00:00Z,ALLEN,,,,,,,,Clockmakers,,,,,,,,,,,,,,,
17,1607-01-01T00:00:00Z,ALLEN,,,,,,,,Grocers,,,,,,,,,,,,,,,
17,1607-01-01T00:00:00Z,ALLEN,,,,,Engraver,book plate,,,,,,,,,,,,,,,,,
18,1664-01-01T00:00:00Z,SUTTON & KNIBB,,,,,,,,,,,,,Mathematical,,,,,,,,,,
19,1721-01-01T00:00:00Z,ATKINSON,,,,,,,,,,,,,Mathematical,,,,,,,,,,
19,1721-01-01T00:00:00Z,ATKINSON,,,,,Teacher ,math,,,,,,,,,,,,,,,,,
20,1668-01-01T00:00:00Z,ATKINSON,,,,,,,,,,,,,Mathematical,,,,,,,,,,
20,1668-01-01T00:00:00Z,ATKINSON,,,,,,,,Clockmakers,,,,,,,,,,,,,,,
20,1668-01-01T00:00:00Z,ATKINSON,,,,,,,,Joiners,,,,,,,,,,,,,,,
20,1668-01-01T00:00:00Z,ATKINSON,,,,,Teacher ,mathematics,,,,,,,,,,,,,,,,,
21,1748-01-01T00:00:00Z,AYSCOUGH,,,,,,,,,,,,,Mathematical,,,,,,,,,,
21,1748-01-01T00:00:00Z,AYSCOUGH,,,,,,,,,,,,,Philosophical,,,,,,,,,,
21,1748-01-01T00:00:00Z,AYSCOUGH,,,,,,,,,,,,,Optical,,,,,,,,,,
21,1748-01-01T00:00:00Z,AYSCOUGH,,,,,,,,,Optician,,,,,,,,,,,,,,
21,1748-01-01T00:00:00Z,AYSCOUGH,,,,,,,,Spectaclemakers,,,,,,,,,,,,,,,
22,1765-01-01T00:00:00Z,WHITE & WALSH,,,,,,,,,,,,,Mathematical,,,,,,,,,,
22,1765-01-01T00:00:00Z,WHITE & WALSH,,,,,,,,,,,,,Surgical,,,,,,,,,,
23,1766-01-01T00:00:00Z,URINGS,,,,,,,,,,,,,Mathematical,,,,,,,,,,
23,1766-01-01T00:00:00Z,URINGS,,,,,,,,Joiners,,,,,,,,,,,,,,,
24,1759-01-01T00:00:00Z,BAILEY,,,,,,,,,,,,,Mathematical,,,,,,,,,,
24,1759-01-01T00:00:00Z,BAILEY,,,,,,,,Masons,,,,,,,,,,,,,,,
24,1759-01-01T00:00:00Z,BAILEY,,,,,Finisher ,watch,,,,,,,,,,,,,,,,,
25,1700-01-01T00:00:00Z,BARCLAY,,,,,,,,,,,,,,,,,,,,Spectacle,,,
26,1727-01-01T00:00:00Z,BARCLAY,,,,,,,,,,,,,,,,,,,,Watch,,,
26,1727-01-01T00:00:00Z,BARCLAY,,,,,,,,,,,,,Optical,,,,,,,,,,
27,1731-01-01T00:00:00Z,BARCLAY,,,,,,,,,,,,,Optical,,,,,,,,,,
29,1789-01-01T00:00:00Z,BARNETT,,,,,,,,,,,,,Mathematical,,,,,,,,,,
29,1789-01-01T00:00:00Z,BARNETT,,,,,,,,,,,,,Philosophical,,,,,,,,,,
29,1789-01-01T00:00:00Z,BARNETT,,,,,,,,,,,,,Optical,,,,,,,,,,
29,1789-01-01T00:00:00Z,BARNETT,,,,,,,,,Optician,,,,,,,,,,,,,,
29,1789-01-01T00:00:00Z,BARNETT,,,,,,,,Spectaclemakers,,,,,,,,,,,,,,,
30,1723-01-01T00:00:00Z,BASS,,,,,,,,,,,,,Optical,,,,,,,,,,
30,1723-01-01T00:00:00Z,BASS,,,,,,,,Spectaclemakers,,,,,,,,,,,,,,,
31,1690-01-01T00:00:00Z,COURT,,,,,,,,,,,,,,,,,Book,,,,,,
31,1690-01-01T00:00:00Z,COURT,,,,,,,,,,Mathematical,,,,,,,,,,,,,
32,1660-01-01T00:00:00Z,BAYLEY,,,,,Grinder ,lens,,,,,,,,,,,,,,,,,
33,1790-01-01T00:00:00Z,BAYLEY,,,,,,,,,,,,,Philosophical,,,,,,,,,,
35,1771-01-01T00:00:00Z,BELL,,,,,,,,,Optician,,,,,,,,,,,,,,
35,1771-01-01T00:00:00Z,BELL,,,,,Surveyor,land,,,,,,,,,,,,,,,,,
35,1771-01-01T00:00:00Z,BELL,,,,,Engraver,,,,,,,,,,,,,,,,,,
36,1668-01-01T00:00:00Z,HANDFORD,,,,,,,,,,,,,,,,,,,,Spectacle,,,
36,1668-01-01T00:00:00Z,HANDFORD,,,,,,,,Spectaclemakers,,,,,,,,,,,,,,,
37,1735-01-01T00:00:00Z,BENNETT,,,,,,,,,,,,,Mathematical,,,,,,,,,,
37,1735-01-01T00:00:00Z,BENNETT,,,,,,,,,,,,,Philosophical,,,,,,,,,,
37,1735-01-01T00:00:00Z,BENNETT,,,,,,,,,,,,,Optical,,,,,,,,,,
37,1735-01-01T00:00:00Z,BENNETT,,,,,,,,Stationers,,,,,,,,,,,,,,,
38,1787-01-01T00:00:00Z,BETTALLY,,,,,,,,,,,,,,,,,,,,Barometer,,,
38,1787-01-01T00:00:00Z,BETTALLY,,,,,,,,,,,,,Philosophical,,,,,,,,,,
39,1790-01-01T00:00:00Z,BISHOP,,,,,,,,,,,,,,,,,,,,Watch,,,
39,1790-01-01T00:00:00Z,BISHOP,,,,,,,,Clockmakers,,,,,,,,,,,,,,,
40,1671-01-01T00:00:00Z,MOXON,,,,,,,,,,,,,,,,,Map,,,,,,
