source,relationship,target
2806,SEE_ALSO,2028
1122,ASSOCIATED_WITH,1671
1122,ASSOCIATED_WITH,1670
1671,ASSOCIATED_WITH,1670
1671,ASSOCIATED_WITH,1122
1670,ASSOCIATED_WITH,1671
1670,ASSOCIATED_WITH,1122
548,HAD_APPRENTICE,5391
548,APPRENTICED_TO,349
214,APPRENTICED_TO,146
548,HAD_APPRENTICE,5395
2602,SEE_ALSO,1
1,ASSOCIATED_WITH,792
1,SUCCEEDED__BY,4309
1,EMPLOYED_BY,3626
6036,SEE_ALSO,2602
2602,SEE_ALSO,6036
4309,TOOK_OVER_FROM,1
4309,SUCCEEDED__BY,792
4593,ASSOCIATED_WITH,1
4309,ASSOCIATED_WITH,3626
4593,SUCCEEDED__BY,3626
4593,EMPLOYED_BY,3626
4594,TOOK_OVER_FROM,2268
4594,SUCCEEDED__BY,2268
1132,HAD_APPRENTICE,9262
1983,APPRENTICED_TO,2772
1983,HAD_APPRENTICE,3481
151,APPRENTICED_TO,1316
10304,CHILD_OF,5053
10304,TOOK_OVER_FROM,5053
334,HAD_APPRENTICE,438
334,SUCCEEDED__BY,438
334,ASSOCIATED_WITH,344
864,SPOUSE_OF,551
2728,APPRENTICED_TO,855
864,TOOK_OVER_FROM,551
551,SUCCEEDED__BY,864
551,SPOUSE_OF,864
511,APPRENTICED_TO,1227
511,PARENT_OF,550
511,PARENT_OF,551
511,HAD_APPRENTICE,551
511,HAD_APPRENTICE,1021
511,EMPLOYED_BY,455
511,SUCCEEDED__BY,549
334,APPRENTICED_TO,5
549,SUCCEEDED__BY,551
549,TOOK_OVER_FROM,511
550,CHILD_OF,511
