period_start,period_end,period_label
1530,1539,1530 - 1539
1540,1549,1540 - 1549
1550,1559,1550 - 1559
1560,1569,1560 - 1569
1570,1579,1570 - 1579
1580,1589,1580 - 1589
1590,1599,1590 - 1599
1600,1609,1600 - 1609
1610,1619,1610 - 1619
1620,1629,1620 - 1629
1630,1639,1630 - 1639
1640,1649,1640 - 1649
1650,1659,1650 - 1659
1660,1669,1660 - 1669
1670,1679,1670 - 1679
1680,1689,1680 - 1689
1690,1699,1690 - 1699
1700,1709,1700 - 1709
1710,1719,1710 - 1719
1720,1729,1720 - 1729
1730,1739,1730 - 1739
1740,1749,1740 - 1749
1750,1759,1750 - 1759
1760,1769,1760 - 1769
1770,1779,1770 - 1779
1780,1789,1780 - 1789
1790,1799,1790 - 1799
1800,1809,1800 - 1809
1810,1819,1810 - 1819
1820,1829,1820 - 1829
1830,1839,1830 - 1839
1840,1849,1840 - 1849
1850,1859,1850 - 1859
1860,1869,1860 - 1869
1870,1879,1870 - 1879
1880,1889,1880 - 1889
1890,1899,1890 - 1899
1900,1909,1900 - 1909
1910,1919,1910 - 1919
1920,1929,1920 - 1929
1930,1939,1930 - 1939
1940,1949,1940 - 1949
1950,1959,1950 - 1959
1960,1969,1960 - 1969
1970,1979,1970 - 1979
1980,1989,1980 - 1989
1990,1999,1990 - 1999
2000,2009,2000 - 2009
2010,2019,2010 - 2019
